specimenID,materialName,materialStockID,specimenPreparation,testStandards,particleSize [µm],particleSizeUnit,percentOfMass [%],percentOfMassUnit,testType
P-0046-14,17-4PH,NIST_100-6_Feedstock2,Recyled from Build 1,ASTM B214-07,38,micrometer,26.79,%,PARTICLESIZE-SIEVING
P-0046-14,17-4PH,NIST_100-6_Feedstock2,Recyled from Build 1,ASTM B214-07,45,micrometer,23.85,%,PARTICLESIZE-SIEVING
P-0046-14,17-4PH,NIST_100-6_Feedstock2,Recyled from Build 1,ASTM B214-07,53,micrometer,14.59,%,PARTICLESIZE-SIEVING
P-0046-14,17-4PH,NIST_100-6_Feedstock2,Recyled from Build 1,ASTM B214-07,63,micrometer,3.94,%,PARTICLESIZE-SIEVING
P-0046-14,17-4PH,NIST_100-6_Feedstock2,Recyled from Build 1,ASTM B214-07,75,micrometer,0.18,%,PARTICLESIZE-SIEVING
P-0051-14,17-4PH,NIST_100-6_Feedstock3,Recyled from Build 2,ASTM B214-07,20,micrometer,4.62,%,PARTICLESIZE-SIEVING
P-0051-14,17-4PH,NIST_100-6_Feedstock3,Recyled from Build 2,ASTM B214-07,25,micrometer,6.46,%,PARTICLESIZE-SIEVING
P-0051-14,17-4PH,NIST_100-6_Feedstock3,Recyled from Build 2,ASTM B214-07,32,micrometer,15.33,%,PARTICLESIZE-SIEVING
P-0051-14,17-4PH,NIST_100-6_Feedstock3,Recyled from Build 2,ASTM B214-07,38,micrometer,21.24,%,PARTICLESIZE-SIEVING
P-0051-14,17-4PH,NIST_100-6_Feedstock3,Recyled from Build 2,ASTM B214-07,45,micrometer,27.24,%,PARTICLESIZE-SIEVING
P-0051-14,17-4PH,NIST_100-6_Feedstock3,Recyled from Build 2,ASTM B214-07,53,micrometer,19.39,%,PARTICLESIZE-SIEVING
P-0051-14,17-4PH,NIST_100-6_Feedstock3,Recyled from Build 2,ASTM B214-07,63,micrometer,4.52,%,PARTICLESIZE-SIEVING
P-0051-14,17-4PH,NIST_100-6_Feedstock3,Recyled from Build 2,ASTM B214-07,75,micrometer,0.0,%,PARTICLESIZE-SIEVING
P-0056-14,17-4PH,NIST_100-6_Feedstock4,Recyled from Build 3,ASTM B214-07,20,micrometer,5.41,%,PARTICLESIZE-SIEVING
P-0056-14,17-4PH,NIST_100-6_Feedstock4,Recyled from Build 3,ASTM B214-07,25,micrometer,8.17,%,PARTICLESIZE-SIEVING
P-0056-14,17-4PH,NIST_100-6_Feedstock4,Recyled from Build 3,ASTM B214-07,32,micrometer,18.62,%,PARTICLESIZE-SIEVING
P-0056-14,17-4PH,NIST_100-6_Feedstock4,Recyled from Build 3,ASTM B214-07,38,micrometer,21.74,%,PARTICLESIZE-SIEVING
P-0056-14,17-4PH,NIST_100-6_Feedstock4,Recyled from Build 3,ASTM B214-07,45,micrometer,23.67,%,PARTICLESIZE-SIEVING
P-0056-14,17-4PH,NIST_100-6_Feedstock4,Recyled from Build 3,ASTM B214-07,53,micrometer,16.79,%,PARTICLESIZE-SIEVING
P-0056-14,17-4PH,NIST_100-6_Feedstock4,Recyled from Build 3,ASTM B214-07,63,micrometer,4.4,%,PARTICLESIZE-SIEVING
P-0056-14,17-4PH,NIST_100-6_Feedstock4,Recyled from Build 3,ASTM B214-07,75,micrometer,0.83,%,PARTICLESIZE-SIEVING
P-0061-14,17-4PH,NIST_100-6_Feedstock5,Recyled from Build 4,ASTM B214-07,20,micrometer,4.51,%,PARTICLESIZE-SIEVING
P-0061-14,17-4PH,NIST_100-6_Feedstock5,Recyled from Build 4,ASTM B214-07,25,micrometer,7.64,%,PARTICLESIZE-SIEVING
P-0061-14,17-4PH,NIST_100-6_Feedstock5,Recyled from Build 4,ASTM B214-07,32,micrometer,20.17,%,PARTICLESIZE-SIEVING
P-0061-14,17-4PH,NIST_100-6_Feedstock5,Recyled from Build 4,ASTM B214-07,38,micrometer,20.17,%,PARTICLESIZE-SIEVING
P-0061-14,17-4PH,NIST_100-6_Feedstock5,Recyled from Build 4,ASTM B214-07,45,micrometer,24.86,%,PARTICLESIZE-SIEVING
P-0061-14,17-4PH,NIST_100-6_Feedstock5,Recyled from Build 4,ASTM B214-07,53,micrometer,16.3,%,PARTICLESIZE-SIEVING
P-0061-14,17-4PH,NIST_100-6_Feedstock5,Recyled from Build 4,ASTM B214-07,63,micrometer,4.97,%,PARTICLESIZE-SIEVING
P-0061-14,17-4PH,NIST_100-6_Feedstock5,Recyled from Build 4,ASTM B214-07,75,micrometer,1.1,%,PARTICLESIZE-SIEVING
P-0067-14,17-4PH,NIST_100-6_Feedstock6,Recyled from Build 5,ASTM B214-07,20,micrometer,4.61,%,PARTICLESIZE-SIEVING
P-0067-14,17-4PH,NIST_100-6_Feedstock6,Recyled from Build 5,ASTM B214-07,25,micrometer,8.76,%,PARTICLESIZE-SIEVING
P-0067-14,17-4PH,NIST_100-6_Feedstock6,Recyled from Build 5,ASTM B214-07,32,micrometer,20.85,%,PARTICLESIZE-SIEVING
P-0067-14,17-4PH,NIST_100-6_Feedstock6,Recyled from Build 5,ASTM B214-07,38,micrometer,23.15,%,PARTICLESIZE-SIEVING
P-0067-14,17-4PH,NIST_100-6_Feedstock6,Recyled from Build 5,ASTM B214-07,45,micrometer,23.25,%,PARTICLESIZE-SIEVING
P-0067-14,17-4PH,NIST_100-6_Feedstock6,Recyled from Build 5,ASTM B214-07,53,micrometer,14.21,%,PARTICLESIZE-SIEVING
P-0067-14,17-4PH,NIST_100-6_Feedstock6,Recyled from Build 5,ASTM B214-07,63,micrometer,4.06,%,PARTICLESIZE-SIEVING
P-0067-14,17-4PH,NIST_100-6_Feedstock6,Recyled from Build 5,ASTM B214-07,75,micrometer,0.74,%,PARTICLESIZE-SIEVING
P-0072-14,17-4PH,NIST_100-6_Feedstock7,Recyled from Build 6,ASTM B214-07,20,micrometer,8.81,%,PARTICLESIZE-SIEVING
P-0072-14,17-4PH,NIST_100-6_Feedstock7,Recyled from Build 6,ASTM B214-07,25,micrometer,12.94,%,PARTICLESIZE-SIEVING
P-0072-14,17-4PH,NIST_100-6_Feedstock7,Recyled from Build 6,ASTM B214-07,32,micrometer,24.13,%,PARTICLESIZE-SIEVING
P-0072-14,17-4PH,NIST_100-6_Feedstock7,Recyled from Build 6,ASTM B214-07,38,micrometer,19.45,%,PARTICLESIZE-SIEVING
P-0072-14,17-4PH,NIST_100-6_Feedstock7,Recyled from Build 6,ASTM B214-07,45,micrometer,20.09,%,PARTICLESIZE-SIEVING
P-0072-14,17-4PH,NIST_100-6_Feedstock7,Recyled from Build 6,ASTM B214-07,53,micrometer,10.73,%,PARTICLESIZE-SIEVING
P-0072-14,17-4PH,NIST_100-6_Feedstock7,Recyled from Build 6,ASTM B214-07,63,micrometer,2.94,%,PARTICLESIZE-SIEVING
P-0072-14,17-4PH,NIST_100-6_Feedstock7,Recyled from Build 6,ASTM B214-07,75,micrometer,0.64,%,PARTICLESIZE-SIEVING
P-0077-14,17-4PH,NIST_100-6_Feedstock8,Recyled from Build 7,ASTM B214-07,20,micrometer,5.24,%,PARTICLESIZE-SIEVING
P-0077-14,17-4PH,NIST_100-6_Feedstock8,Recyled from Build 7,ASTM B214-07,25,micrometer,6.8,%,PARTICLESIZE-SIEVING
P-0077-14,17-4PH,NIST_100-6_Feedstock8,Recyled from Build 7,ASTM B214-07,32,micrometer,18.57,%,PARTICLESIZE-SIEVING
P-0077-14,17-4PH,NIST_100-6_Feedstock8,Recyled from Build 7,ASTM B214-07,38,micrometer,23.62,%,PARTICLESIZE-SIEVING
P-0077-14,17-4PH,NIST_100-6_Feedstock8,Recyled from Build 7,ASTM B214-07,45,micrometer,24.26,%,PARTICLESIZE-SIEVING
P-0077-14,17-4PH,NIST_100-6_Feedstock8,Recyled from Build 7,ASTM B214-07,53,micrometer,15.35,%,PARTICLESIZE-SIEVING
P-0077-14,17-4PH,NIST_100-6_Feedstock8,Recyled from Build 7,ASTM B214-07,63,micrometer,4.6,%,PARTICLESIZE-SIEVING
P-0077-14,17-4PH,NIST_100-6_Feedstock8,Recyled from Build 7,ASTM B214-07,75,micrometer,1.29,%,PARTICLESIZE-SIEVING
P-0082-14,17-4PH,NIST_100-6_Feedstock9,Recyled from Build 8,ASTM B214-07,20,micrometer,5.05,%,PARTICLESIZE-SIEVING
P-0082-14,17-4PH,NIST_100-6_Feedstock9,Recyled from Build 8,ASTM B214-07,25,micrometer,8.17,%,PARTICLESIZE-SIEVING
P-0082-14,17-4PH,NIST_100-6_Feedstock9,Recyled from Build 8,ASTM B214-07,32,micrometer,18.62,%,PARTICLESIZE-SIEVING
P-0082-14,17-4PH,NIST_100-6_Feedstock9,Recyled from Build 8,ASTM B214-07,38,micrometer,22.48,%,PARTICLESIZE-SIEVING
P-0082-14,17-4PH,NIST_100-6_Feedstock9,Recyled from Build 8,ASTM B214-07,45,micrometer,22.66,%,PARTICLESIZE-SIEVING
P-0082-14,17-4PH,NIST_100-6_Feedstock9,Recyled from Build 8,ASTM B214-07,53,micrometer,16.33,%,PARTICLESIZE-SIEVING
P-0082-14,17-4PH,NIST_100-6_Feedstock9,Recyled from Build 8,ASTM B214-07,63,micrometer,4.95,%,PARTICLESIZE-SIEVING
P-0082-14,17-4PH,NIST_100-6_Feedstock9,Recyled from Build 8,ASTM B214-07,75,micrometer,1.38,%,PARTICLESIZE-SIEVING
RR_1_P-22-14,IN625,NIST_IN625_RR_Feedstock_Aberdeen,Virgin Powder in Dispenser,ASTM B214-07,20,micrometer,9.07,%,PARTICLESIZE-SIEVING
RR_1_P-22-14,IN625,NIST_IN625_RR_Feedstock_Aberdeen,Virgin Powder in Dispenser,ASTM B214-07,25,micrometer,14.36,%,PARTICLESIZE-SIEVING
RR_1_P-22-14,IN625,NIST_IN625_RR_Feedstock_Aberdeen,Virgin Powder in Dispenser,ASTM B214-07,32,micrometer,17.82,%,PARTICLESIZE-SIEVING
RR_1_P-22-14,IN625,NIST_IN625_RR_Feedstock_Aberdeen,Virgin Powder in Dispenser,ASTM B214-07,38,micrometer,18.45,%,PARTICLESIZE-SIEVING
RR_1_P-22-14,IN625,NIST_IN625_RR_Feedstock_Aberdeen,Virgin Powder in Dispenser,ASTM B214-07,45,micrometer,18.68,%,PARTICLESIZE-SIEVING
RR_1_P-22-14,IN625,NIST_IN625_RR_Feedstock_Aberdeen,Virgin Powder in Dispenser,ASTM B214-07,53,micrometer,16.77,%,PARTICLESIZE-SIEVING
RR_1_P-22-14,IN625,NIST_IN625_RR_Feedstock_Aberdeen,Virgin Powder in Dispenser,ASTM B214-07,63,micrometer,3.98,%,PARTICLESIZE-SIEVING
RR_1_P-22-14,IN625,NIST_IN625_RR_Feedstock_Aberdeen,Virgin Powder in Dispenser,ASTM B214-07,75,micrometer,0.01,%,PARTICLESIZE-SIEVING
